wpi,port,country,size,type,tidal_range,entrance_width,channel_depth,latitude,longitude
38050,Vila Real De S Antonio,Portugal,Very Small,River (Natural),2.0,0.0,3.4,37.183332999999998,-7.400000000000000
38095,Praia De Vitoria,Portugal,Very Small,Coastal (Natural),2.0,0.0,17.1,38.716667000000001,-27.050000000000001
38130,Funchal,Portugal,Large,Coastal (Breakwater),2.0,0.0,12.5,32.633333000000000,-16.916667000000000
38170,Las Palmas,Spain,Large,Coastal (Breakwater),2.0,0.0,11.0,28.149999999999999,-15.416667000000000
38220,Huelva,Spain,Medium,River (Natural),4.0,0.0,12.5,37.250000000000000,-6.950000000000000
38270,Sevilla,Spain,Medium,Canal or Lake,6.0,0.0,7.9,37.366667000000000,-6.000000000000000
38280,Rota,Spain,Very Small,Coastal (Breakwater),3.0,0.0,9.4,36.616667000000000,-6.333333000000000
38290,Cadiz,Spain,Medium,Coastal (Breakwater),4.0,0.0,12.5,36.533332999999999,-6.300000000000000
38310,Algeciras,Spain,Small,Coastal (Breakwater),1.0,0.0,6.4,36.133333000000000,-5.433333000000000
38370,Malaga,Spain,Medium,Coastal (Breakwater),1.0,0.0,12.5,36.716667000000001,-4.416667000000000
38430,Cartagena,Spain,Small,Coastal (Breakwater),1.0,0.0,11.0,37.583333000000003,-0.983333000000000
38480,Valencia,Spain,Medium,Coastal (Breakwater),0.0,0.0,15.5,39.450000000000003,-0.316667000000000
38490,Sagunto,Spain,Very Small,Coastal (Breakwater),0.0,0.0,7.9,39.649999999999999,-0.216667000000000
38540,Tarragona,Spain,Large,Coastal (Breakwater),1.0,0.0,20.1,41.100000000000001,1.233333000000000
38750,Sete,France,Small,Coastal (Breakwater),1.0,0.0,14.0,43.399999999999999,3.700000000000000
38775,Fos,France,Very Small,Coastal (Breakwater),0.0,0.0,21.6,43.416666999999997,4.883333000000000
39120,L'ile Rousse,France,Very Small,Coastal (Breakwater),0.0,0.0,6.4,42.633333000000000,8.933332999999999
39215,Sarroch Oil Terminal,Italy,Medium,Open Roadstead,0.0,0.0,21.6,39.083333000000003,9.033333000000001
39470,Genova,Italy,Large,Coastal (Breakwater),1.0,0.0,15.5,44.398000000000003,8.922000000000001
40110,Milazzo,Italy,Medium,Open Roadstead,0.0,0.0,9.4,38.216667000000001,15.250000000000000
40115,Gioia Tauro,Italy,Large,Canal or Lake,1.0,0.0,17.1,38.444000000000003,15.890000000000001
40270,Catania,Italy,Medium,Coastal (Breakwater),0.0,0.0,11.0,37.500000000000000,15.100000000000000
40340,Marsaxlokk,Malta,Small,Coastal (Natural),0.0,0.0,14.0,35.816667000000002,14.550000000000001
40470,Taranto,Italy,Large,Coastal (Breakwater),0.0,0.0,14.0,40.466667000000001,17.199999999999999
